Row Labels,Count of church,Address,UpdatedChurchName,Latitude,Longitude,Flag
"Our Lady of Peace, North Arlington",1,"10 Franklin Pl., North Arlington, New Jersey 07031-6094","Our Lady of Peace, North Arlington",40.7873465,-74.1338421,"Does not appear to be a ""Our Lady of Peace,"" only a ""Queen of Peace"" church"
"Our Lady of Peace, North Brunswick",1,"1740 US Highway Rt. 130, North Brunswick, NJ 08902","Our Lady of Peace, North Brunswick",40.4417581,-74.4707353,
"Our Lady of Perpetual Help, Oakland",1,"25 Purdue Ave, Oakland, NJ 07436","Our Lady of Perpetual Help, Oakland",41.0289228,-74.2271187,
"Our Lady Of Sorrows, Jersey City",1,"95 Clerk St, Jersey City, NJ 07305","Our Lady Of Sorrows, Jersey City",40.7076538,-74.076926,
"Our Lady of Sorrows, Kearny",1,"136 Davis Ave, Kearny, NJ 07032","Our Lady of Sorrows, Kearny",40.7574223,-74.1474905,
"Our Lady Of Sorrows, S. Orange",1,"217 Prospect St, South Orange, NJ","Our Lady of Sorrows, South Orange",40.7414368,-74.2588757,Also a school
"Our Lady of Sorrows, South Orange",1,"217 Prospect St, South Orange, NJ","Our Lady of Sorrows, South Orange",40.7414368,-74.2588757,Also a school
"Our Lady of the Angels, Cape May",3,"35 E Mechanic St, Cape May Court House, NJ 08210","Our Lady of the Angels, Cape May",39.0803039,-74.8200374,
"Our Lady of the Assumption, Bayonne",1,"93 W 23rd St, Bayonne, NJ 07002","Our Lady of the Assumption, Bayonne",40.6657195,-74.1211973,Closed
"Our Lady of the Blessed Sacrament, Roseland",1,"28 Livingston Ave, Roseland, NJ 07068","Our Lady of the Blessed Sacrament, Roseland",40.8189639,-74.2972338,
